Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Effects of delay and duration of light deprivation on recovery of function from neglect induced by unilateral medial agranular prefrontal cortex lesions in rats","Psychobiology","","26","3","10.3758/BF03330610","Karen J. BurchamJames V. Corwin","1998","http://link.springer.com/article/10.3758/BF03330610","Article"
"Genetic diversity and colony breeding structure in native and introduced ranges of the Formosan subterranean termite, Coptotermes formosanus","Biological Invasions","","14","2","10.1007/s10530-011-0087-7","Claudia HussenederDawn M. SimmsJennifer R. DelatteChanglu WangJ. Kenneth GraceEdward L. Vargo","2012","http://link.springer.com/article/10.1007/s10530-011-0087-7","Article"
"Mutual pheromonal inhibition among queens in polygyne colonies of the fire ant Solenopsis invicta","Behavioral Ecology and Sociobiology","","31","3","10.1007/BF00168648","Edward L. Vargo","1992","http://link.springer.com/article/10.1007/BF00168648","Article"
"High occurrence of colony fusion in a European population of the American termite Reticulitermes flavipes","Insectes Sociaux","","57","4","10.1007/s00040-010-0096-z","E. PerdereauA.-G. BagnèresS. DupontF. Dedeine","2010","http://link.springer.com/article/10.1007/s00040-010-0096-z","Article"
"A Service-dominant Definition of Servitization","Organizational Competence for Servitization","","","","10.1007/978-3-658-20096-1_3","Tim Posselt","2018","http://link.springer.com/chapter/10.1007/978-3-658-20096-1_3","Chapter"
"Value-in-context in crowdfunding ecosystems: how context frames value co-creation","Service Business","","11","2","10.1007/s11628-016-0314-5","María José QueroRafael VenturaCarol Kelleher","2017","http://link.springer.com/article/10.1007/s11628-016-0314-5","Article"
"The Relationship Marketing View of the Customer and the Service Dominant Logic Perspective","Journal of Business Market Management","","4","4","10.1007/s12087-010-0043-3","Thomas W. GruenJoerg S. Hofstetter","2010","http://link.springer.com/article/10.1007/s12087-010-0043-3","Article"
"Value logics for service innovation: practice-driven implications for service-dominant logic","Service Business","","12","3","10.1007/s11628-018-0361-1","Erik LindhultKoteshwar ChirumallaPejvak OghaziVinit Parida","2018","http://link.springer.com/article/10.1007/s11628-018-0361-1","Article"
"Extending the Context of Innovation: The Co-creation and Institutionalization of Technology and Markets","Innovating in Practice","","","","10.1007/978-3-319-43380-6_3","Melissa Archpru AkakaStephen L. VargoHeiko Wieland","2017","http://link.springer.com/chapter/10.1007/978-3-319-43380-6_3","Chapter"
"Reframing customer value from a dominant logics perspective","der markt","","51","2 - 3","10.1007/s12642-011-0068-5","Tobias SchlagerPeter Maas","2012","http://link.springer.com/article/10.1007/s12642-011-0068-5","Article"
"The Performativity of Value Propositions in Shaping a Service Ecosystem: The Case of B-corporations","Social Dynamics in a Systems Perspective","","","","10.1007/978-3-319-61967-5_10","Cristina MeleTiziana Russo-SpenaMarco Tregua","2018","http://link.springer.com/chapter/10.1007/978-3-319-61967-5_10","Chapter"
"Colony interactions in Reticulitermes grassei population assessed by molecular genetic methods","Insectes Sociaux","","55","1","10.1007/s00040-007-0971-4","T. NobreL. NunesD. E. Bignell","2008","http://link.springer.com/article/10.1007/s00040-007-0971-4","Article"
"Value-in-Context: An Exploration of the Context of Value and the Value of Context","Handbook of Service Science, Volume II","","","","10.1007/978-3-319-98512-1_20","Melissa Archpru AkakaGlenn Parry","2019","http://link.springer.com/chapter/10.1007/978-3-319-98512-1_20","Chapter"
"Toward a Science of Service Systems","Handbook of Service Science","","","","10.1007/978-1-4419-1628-0_9","James C. SpohrerPaul P. Maglio","2010","http://link.springer.com/chapter/10.1007/978-1-4419-1628-0_9","Chapter"
"Service-dominant logic — a guiding framework for inbound marketing","Marketing Review St. Gallen","","26","6","10.1007/s11621-009-0094-6","Robert F. LuschStephen L. Vargo","2009","http://link.springer.com/article/10.1007/s11621-009-0094-6","Article"
"Why “service”?","Journal of the Academy of Marketing Science","","36","1","10.1007/s11747-007-0068-7","Stephen L. VargoRobert F. Lusch","2008","http://link.springer.com/article/10.1007/s11747-007-0068-7","Article"
"A Value Co-creation Perspective on Information Systems Analysis and Design","Business & Information Systems Engineering","","","","10.1007/s12599-018-0557-x","Kazem HakiMichael BlaschkeStephan AierRobert Winter","2018","http://link.springer.com/article/10.1007/s12599-018-0557-x","Article"
"Expanding understanding of service exchange and value co-creation: a social construction approach","Journal of the Academy of Marketing Science","","39","2","10.1007/s11747-010-0200-y","Bo EdvardssonBård TronvollThorsten Gruber","2011","http://link.springer.com/article/10.1007/s11747-010-0200-y","Article"
"The Service-Dominant Logic of Marketing and Marketing Ethics","Journal of Business Ethics","","102","3","10.1007/s10551-011-0823-z","John WilliamsRobert Aitken","2011","http://link.springer.com/article/10.1007/s10551-011-0823-z","Article"
"Business models as service strategy","Journal of the Academy of Marketing Science","","45","6","10.1007/s11747-017-0531-z","Heiko WielandNathaniel N. HartmannStephen L. Vargo","2017","http://link.springer.com/article/10.1007/s11747-017-0531-z","Article"
"Unilateral destruction of the medial agranular cortical projection zone in the dorsocentral striatum produces severe neglect in rats","Psychobiology","","28","1","10.3758/BF03330629","Thomas M. van VleetKaren J. BurchamJames V. CorwinRoger L. Reep","2000","http://link.springer.com/article/10.3758/BF03330629","Article"
"A situation-aware safety service for children via participatory design","Journal of Ambient Intelligence and Humanized Computing","","6","2","10.1007/s12652-014-0225-z","Susanna Pantsar-SyväniemiMari ErvastiKaarina KarppinenAntti VäätänenVirpi OksmanEssi Kuure","2015","http://link.springer.com/article/10.1007/s12652-014-0225-z","Article"
"Reconfiguration of the conceptual landscape: a tribute to the service logic of Richard Normann","Journal of the Academy of Marketing Science","","36","1","10.1007/s11747-007-0067-8","Stefan MichelStephen L. VargoRobert F. Lusch","2008","http://link.springer.com/article/10.1007/s11747-007-0067-8","Article"
"A Service-Dominant Logic and Value Co-creation Approach for Online Business Education","On the Line","","","","10.1007/978-3-319-62776-2_2","Terry BeckmanAnshuman Khare","2018","http://link.springer.com/chapter/10.1007/978-3-319-62776-2_2","Chapter"
"An American termite in Paris: temporal colony dynamics","Genetica","","145","6","10.1007/s10709-017-9991-9","Guillaume BaudouinFranck DedeineNicolas BechStéphanie Bankhead-DronnetSimon DupontAnne-Geneviève Bagnères","2017","http://link.springer.com/article/10.1007/s10709-017-9991-9","Article"
"The Virtual Experience Economy: A Service-Dominant Logic Perspective","Handbook on 3D3C Platforms","","","","10.1007/978-3-319-22041-3_10","Eman GadallaKathy KeelingIbrahim Abosag","2016","http://link.springer.com/chapter/10.1007/978-3-319-22041-3_10","Chapter"
"‘In the house of my friend’: Dealing with disability","International Journal for the Advancement of Counselling","","12","4","10.1007/BF00123256","James W. Vargo","1989","http://link.springer.com/article/10.1007/BF00123256","Article"
"Breeding systems and reproductive strategies in Italian Reticulitermes colonies (Isoptera: Rhinotermitidae)","Insectes Sociaux","","60","2","10.1007/s00040-013-0284-8","A. LuchettiA. VelonàM. MuellerB. Mantovani","2013","http://link.springer.com/article/10.1007/s00040-013-0284-8","Article"
"Rethinking the Place Product from the Perspective of the Service-Dominant Logic of Marketing","Rethinking Place Branding","","","","10.1007/978-3-319-12424-7_3","Gary WarnabyDominic Medway","2015","http://link.springer.com/chapter/10.1007/978-3-319-12424-7_3","Chapter"
"Cost-efficient co-creation of knowledge intensive business services","Service Business","","12","4","10.1007/s11628-018-0380-y","Seppo KuulaHarri HaapasaloArto Tolonen","2018","http://link.springer.com/article/10.1007/s11628-018-0380-y","Article"
"Framing the New Social–Service Innovation Mindset","Innovating in Practice","","","","10.1007/978-3-319-43380-6_10","Tiziana Russo-SpenaMaria ColurcioMonia Melia","2017","http://link.springer.com/chapter/10.1007/978-3-319-43380-6_10","Chapter"
"Living with PAUL – Use Processes and the Design of AAL Solutions","Kundenintegration und Leistungslehre","","","","10.1007/978-3-658-07448-7_10","Michaela HaaseAnnette Spellerberg Prof. Dr.","2015","http://link.springer.com/chapter/10.1007/978-3-658-07448-7_10","Chapter"
"Pheromonal and behavioral queen control over the production of gynes in the Argentine ant Iridomyrmex humilis (Mayr)","Behavioral Ecology and Sociobiology","","28","3","10.1007/BF00172167","Edward L. VargoLuc Passera","1991","http://link.springer.com/article/10.1007/BF00172167","Article"
"Marketing with integrity: ethics and the service-dominant logic for marketing","Journal of the Academy of Marketing Science","","36","1","10.1007/s11747-007-0062-0","Andrew V. AbelaPatrick E. Murphy","2008","http://link.springer.com/article/10.1007/s11747-007-0062-0","Article"
"Toward a Value Metrics—A Service-Dominant Logic View","Advances in The Human Side of Service Engineering","","","","10.1007/978-3-319-41947-3_18","Md Abul Kalam SiddikeKazuyoshi Hidaka","2017","http://link.springer.com/chapter/10.1007/978-3-319-41947-3_18","Chapter"
"A bioassay for a primer pheromone of queen fire ants (Solenopsis invicta) which inhibits the production of sexuals","Insectes Sociaux","","35","4","10.1007/BF02225813","E. L. Vargo","1988","http://link.springer.com/article/10.1007/BF02225813","Article"
"Zooming Out and Zooming In: Service Ecosystems as Venues for Collaborative Innovation","Service Innovation","","","","10.1007/978-4-431-54922-2_2","Heiko WielandStephen L. VargoMelissa Archpru Akaka","2016","http://link.springer.com/chapter/10.1007/978-4-431-54922-2_2","Chapter"
"The Service Science Foundation for Cloud Computing","Cloud as a Service","","","","10.1007/978-1-4842-0103-9_2","Enrique Castro-LeonRobert Harmon","2016","http://link.springer.com/chapter/10.1007/978-1-4842-0103-9_2","Chapter"
"Conclusion","International Place Branding Yearbook 2012","","","","10.1057/9781137282552_15","Frank M. GoRobert Govers","2013","http://link.springer.com/chapter/10.1057/9781137282552_15","Chapter"
"Multiple stakeholder market orientation: a service-dominant logic perspective of the market orientation paradigm","AMS Review","","","","10.1007/s13162-018-0125-z","Nathaniel D. LineRodney C. RunyanTracy Gonzalez-Padron","2018","http://link.springer.com/article/10.1007/s13162-018-0125-z","Article"
"Critical service logic: making sense of value creation and co-creation","Journal of the Academy of Marketing Science","","41","2","10.1007/s11747-012-0308-3","Christian GrönroosPäivi Voima","2013","http://link.springer.com/article/10.1007/s11747-012-0308-3","Article"
"Transitioning to Value Co-development","Managing Consumer Services","","","","10.1007/978-3-319-04289-3_8","Roberta SebastianiDaniela CorsaroStephen L. Vargo","2014","http://link.springer.com/chapter/10.1007/978-3-319-04289-3_8","Chapter"
"Value and innovation in customer-centric business-to-business collaboration","Innovation in a High Technology B2B Context","","","","10.1007/978-3-658-05721-3_3","Monika Maria Möhring","2014","http://link.springer.com/chapter/10.1007/978-3-658-05721-3_3","Chapter"
"To Measure Is to Know: Development of an Instrument for Measuring Consulting Service Value","Advances in Consulting Research","","","","10.1007/978-3-319-95999-3_4","Severin OesterleArne BuchwaldNils Urbach","2019","http://link.springer.com/chapter/10.1007/978-3-319-95999-3_4","Chapter"
"CSR and Customer Value Co-creation Behavior: The Moderation Mechanisms of Servant Leadership and Relationship Marketing Orientation","Journal of Business Ethics","","","","10.1007/s10551-017-3493-7","Trong Tuan Luu","2017","http://link.springer.com/article/10.1007/s10551-017-3493-7","Article"
"Service as Entropy Reduction: A Conceptualization of Service for Sustainable Coexistence","Social Dynamics in a Systems Perspective","","","","10.1007/978-3-319-61967-5_6","Helge Löbler","2018","http://link.springer.com/chapter/10.1007/978-3-319-61967-5_6","Chapter"
"Using Personal Data to Advance Preventive Healthcare Services","Journal of Service Science Research","","10","1","10.1007/s12927-018-0003-0","Tero Huhtala","2018","http://link.springer.com/article/10.1007/s12927-018-0003-0","Article"
"Building a Brand Platform Ecosystem for the Future Development of the Professional Sports Industry","Brand Platform in the Professional Sport Industry","","","","10.1007/978-3-319-90353-8_3","Jingxuan ZhengDaniel S. Mason","2018","http://link.springer.com/chapter/10.1007/978-3-319-90353-8_3","Chapter"
"From Repeat Patronage to Value Co-creation in Service Ecosystems: A Transcending Conceptualization of Relationship","Journal of Business Market Management","","4","4","10.1007/s12087-010-0046-0","Stephen L. VargoRobert F. Lusch","2010","http://link.springer.com/article/10.1007/s12087-010-0046-0","Article"
"‘Worksome but Rewarding’ –Stakeholder Perceptions on Value in Collaborative Design Work","Computer Supported Cooperative Work (CSCW)","","27","3 - 6","10.1007/s10606-018-9328-y","Marianne KinnulaNetta IivariMinna IsomursuSari Laari-Salmela","2018","http://link.springer.com/article/10.1007/s10606-018-9328-y","Article"
"The Unified Service Theory","Handbook of Service Science","","","","10.1007/978-1-4419-1628-0_7","Scott E. Sampson","2010","http://link.springer.com/chapter/10.1007/978-1-4419-1628-0_7","Chapter"
"Exploring value propositions and service innovation: a service-dominant logic study","Journal of the Academy of Marketing Science","","43","2","10.1007/s11747-013-0365-2","Per SkålénJohanna GummerusCatharina von KoskullPeter R. Magnusson","2015","http://link.springer.com/article/10.1007/s11747-013-0365-2","Article"
"Biology and Reproductive Strategies in the Subterranean Termites (Isoptera: Rhinotermitidae)","Recent Advances in Entomological Research","","","","10.1007/978-3-642-17815-3_12","Xingping Hu","2011","http://link.springer.com/chapter/10.1007/978-3-642-17815-3_12","Chapter"
"“S-D Logic” Business Model - Backward and Contemporary Perspectives","Exploring Services Science","","","","10.1007/978-3-642-28227-0_11","Paul DohmenNatalia KryvinskaChristine Strauss","2012","http://link.springer.com/chapter/10.1007/978-3-642-28227-0_11","Chapter"
"Evidence of pheromonal queen control over the production of male and female sexuals in the fire ant,Solenopsis invicta","Journal of Comparative Physiology A","","159","6","10.1007/BF00603727","Edward L. VargoDavid J. C. Fletcher","1986","http://link.springer.com/article/10.1007/BF00603727","Article"
"Service-Dominant Logic and Service Science as Lenses for Service Productivity","Driving Service Productivity","","","","10.1007/978-3-319-05975-4_5","Bo Edvardsson","2014","http://link.springer.com/chapter/10.1007/978-3-319-05975-4_5","Chapter"
"Application of Service Dominant Logic to the medical device industry","International Review on Public and Nonprofit Marketing","","12","3","10.1007/s12208-015-0126-7","Robert A. WellsMartina G. GallarzaLuisa AndreuRemedios Calero","2015","http://link.springer.com/article/10.1007/s12208-015-0126-7","Article"
"Scattering Rigidity for Analytic Riemannian Manifolds with a Possible Magnetic Field","Journal of Geometric Analysis","","21","3","10.1007/s12220-010-9162-z","Pilar HerrerosJames Vargo","2011","http://link.springer.com/article/10.1007/s12220-010-9162-z","Article"
"A Service-Ecosystem Perspective on Value Creation: Implications for International Business","Value Creation in International Business","","","","10.1007/978-3-319-39369-8_6","Valtteri KaartemoMelissa Archpru AkakaStephen L. Vargo","2017","http://link.springer.com/chapter/10.1007/978-3-319-39369-8_6","Chapter"
"A literature review of service research since 1993","Journal of Service Science","","2","2","10.1007/s12927-010-0008-9","Salim MoussaMourad Touzani","2010","http://link.springer.com/article/10.1007/s12927-010-0008-9","Article"
"Customer participation in services: domain, scope, and boundaries","Journal of the Academy of Marketing Science","","45","6","10.1007/s11747-017-0524-y","Beibei DongK. Sivakumar","2017","http://link.springer.com/article/10.1007/s11747-017-0524-y","Article"
"Service Scienceservice science","Handbook of Service Science","","","","10.1007/978-1-4419-1628-0_16","Eng K. Chew","2010","http://link.springer.com/chapter/10.1007/978-1-4419-1628-0_16","Chapter"
"Towards an Ontological Foundation of Service Dominant Logic","Exploring Services Science","","","","10.1007/978-3-642-21547-6_16","Garyfallos FragidisKonstantinos Tarabanis","2011","http://link.springer.com/chapter/10.1007/978-3-642-21547-6_16","Chapter"
"Automatic stimulus presentation for the proboscis extension reflex in diptera","Behavior Research Methods & Instrumentation","","15","1","10.3758/BF03203429","Mark VargoMark HollidayJerry Hirsch","1983","http://link.springer.com/article/10.3758/BF03203429","Article"
"Value Creation in Online Services","Service Value als Werttreiber","","","","10.1007/978-3-658-02140-5_20","Prof. Dr. Volker G. KuppelwieserMerlin C. Simpson","2014","http://link.springer.com/chapter/10.1007/978-3-658-02140-5_20","Chapter"
"Information Systems as a Service (ISaaS): Consumer Co-creation of Value","Service Research and Innovation","","","","10.1007/978-3-319-76587-7_4","Saradhi Motamarri","2018","http://link.springer.com/chapter/10.1007/978-3-319-76587-7_4","Chapter"
"Co-Creating Value With Self-Service Technology: Helping Customers Help Themselves","Marketing Dynamism & Sustainability: Things Change, Things Stay the Same…","","","","10.1007/978-3-319-10912-1_58","Dr Tim HughesDr Ed LittleDr Toni HiltonDr Ebi Marandi","2015","http://link.springer.com/chapter/10.1007/978-3-319-10912-1_58","Chapter"
"Yolk protein in the pharaoh's ant: Influence of larvae and workers on vitellogenin and vitellin content in queens","Insectes Sociaux","","42","4","10.1007/BF01242168","P. V. JensenL. W. Børgesen","1995","http://link.springer.com/article/10.1007/BF01242168","Article"
"Customer Orientation and the Diffusion of process-based Approaches in Marketing and BPM","Business Process Blueprinting","","","","10.1007/978-3-658-03729-1_3","Michael Hewing","2014","http://link.springer.com/chapter/10.1007/978-3-658-03729-1_3","Chapter"
"Representing Value Co-creation as a Practice of Consumption: Customers’ Perspectives and Actions","Rediscovering the Essentiality of Marketing","","","","10.1007/978-3-319-29877-1_26","Joaquim SilvaCláudia Simões","2016","http://link.springer.com/chapter/10.1007/978-3-319-29877-1_26","Chapter"
"Introduction","Handbook of Service Science","","","","10.1007/978-1-4419-1628-0_1","Paul P. MaglioCheryl A. KieliszewskiJames C. Spohrer","2010","http://link.springer.com/chapter/10.1007/978-1-4419-1628-0_1","Chapter"
"Fertility signaling in queens of a North American ant","Behavioral Ecology and Sociobiology","","45","2","10.1007/s002650050548","Diethe OrtiusJürgen Heinze","1999","http://link.springer.com/article/10.1007/s002650050548","Article"
"Marketing’s identity crisis: it’s complicated","AMS Review","","8","1 - 2","10.1007/s13162-018-0114-2","O. C. Ferrell","2018","http://link.springer.com/article/10.1007/s13162-018-0114-2","Article"
"The Importance of Customer Co-creation of Value for the Tourism and Hospitality Industry","Open Tourism","","","","10.1007/978-3-642-54089-9_3","Digna RoeffenUrsula Scholl-Grissemann","2016","http://link.springer.com/chapter/10.1007/978-3-642-54089-9_3","Chapter"
"Service-dominant-logic","Service Innovation in Agricultural Business","","","","10.1007/978-3-658-23571-0_3","Sebastian Gack","2018","http://link.springer.com/chapter/10.1007/978-3-658-23571-0_3","Chapter"
"Rethinking and Improving the Health Care Service Through Interactive Web Technologies","Managing Consumer Services","","","","10.1007/978-3-319-04289-3_10","Angela CaridàMaria ColurcioMonia Melia","2014","http://link.springer.com/chapter/10.1007/978-3-319-04289-3_10","Chapter"
"Value co-creation: concept and measurement","Journal of the Academy of Marketing Science","","44","3","10.1007/s11747-014-0397-2","Kumar Rakesh RanjanStuart Read","2016","http://link.springer.com/article/10.1007/s11747-014-0397-2","Article"
"Acute temperature and low dissolved oxygen tolerances of brachyuran crab (Cancer irroratus) larvae","Marine Biology","","40","2","10.1007/BF00396263","S. L. VargoA. N. Sastry","1977","http://link.springer.com/article/10.1007/BF00396263","Article"
"Spatial and genetic distribution of a north American termite, Reticulitermes flavipes, across the landscape of Paris","Urban Ecosystems","","21","4","10.1007/s11252-018-0747-9","Guillaume BaudouinNicolas BechAnne-Geneviève BagnèresFranck Dedeine","2018","http://link.springer.com/article/10.1007/s11252-018-0747-9","Article"
"Embedded Relationships: Implications for Networks, Innovation, and Ecosystems","Journal of Business Market Management","","4","4","10.1007/s12087-010-0041-5","Jennifer D. ChandlerHeiko Wieland","2010","http://link.springer.com/article/10.1007/s12087-010-0041-5","Article"
"Innovation: A Critical Assessment of the Concept and Scope of Literature","The Handbook of Service Innovation","","","","10.1007/978-1-4471-6590-3_1","Vibeke Vad BaunsgaardStewart R. Clegg","2015","http://link.springer.com/chapter/10.1007/978-1-4471-6590-3_1","Chapter"
"The Internet of Things and Value Co-creation in a Service-Dominant Logic Perspective","Data Management in Pervasive Systems","","","","10.1007/978-3-319-20062-0_1","Aurelio TommasettiMassimiliano VesciOrlando Troisi","2015","http://link.springer.com/chapter/10.1007/978-3-319-20062-0_1","Chapter"
"Population genetic structure and colony breeding system in dampwood termites (Zootermopsis angusticollis and Z. nevadensis nuttingi)","Insectes Sociaux","","59","1","10.1007/s00040-011-0198-2","W. BoothC. S. BrentD. V. CalleriR. B. RosengausJ. F. A. TranielloE. L. Vargo","2012","http://link.springer.com/article/10.1007/s00040-011-0198-2","Article"
"Sustainability-Driven New Business Models in Wood Construction Towards 2030","Towards a Sustainable Bioeconomy: Principles, Challenges and Perspectives","","","","10.1007/978-3-319-73028-8_25","Anne ToppinenMinna AutioMiska SauruSami Berghäll","2018","http://link.springer.com/chapter/10.1007/978-3-319-73028-8_25","Chapter"
"A Framework to Masure the Co-Created Concept of Value","Marketing Dynamism & Sustainability: Things Change, Things Stay the Same…","","","","10.1007/978-3-319-10912-1_51","Shilpa IyannaHeidi WinklhoferJames Devlin","2015","http://link.springer.com/chapter/10.1007/978-3-319-10912-1_51","Chapter"
"Differential reproduction in multiple-queen colonies of the fire ant Solenopsis invicta (Hymenoptera: Formicidae)","Behavioral Ecology and Sociobiology","","23","6","10.1007/BF00303708","K. G. Ross","1988","http://link.springer.com/article/10.1007/BF00303708","Article"
"The customer experience ecosystem in two cultural contexts","Journal of Financial Services Marketing","","23","3 - 4","10.1057/s41264-018-0053-x","Mojtaba BarariOlivier Furrer","2018","http://link.springer.com/article/10.1057/s41264-018-0053-x","Article"
"Organizational Service Management as an Umbrella for Information Business","Agile Information Business","","","","10.1007/978-981-10-3358-2_6","Jana HanudelovaLenka Prochazkova","2018","http://link.springer.com/chapter/10.1007/978-981-10-3358-2_6","Chapter"
"On the Way to a Systematic Service Innovation Competence Framework","The Handbook of Service Innovation","","","","10.1007/978-1-4471-6590-3_7","Angela Roth","2015","http://link.springer.com/chapter/10.1007/978-1-4471-6590-3_7","Chapter"
"Value Creation and Competitive Advantage Models","Artificial Intelligence in Value Creation","","","","10.1007/978-3-319-91596-8_1","Andrzej Wodecki","2019","http://link.springer.com/chapter/10.1007/978-3-319-91596-8_1","Chapter"
"CCV Scale: Development and Validation of Customer Co-Created Value Scale in E-Services","Current Psychology","","","","10.1007/s12144-017-9639-z","Amit Kumar AgrawalZillur Rahman","2017","http://link.springer.com/article/10.1007/s12144-017-9639-z","Article"
"A Service Quality Framework for Higher Education from the Perspective of Service Dominant Logic","7th International Conference on Knowledge Management in Organizations: Service and Cloud Computing","","","","10.1007/978-3-642-30867-3_28","Najwa ZulkefliLorna Uden","2013","http://link.springer.com/chapter/10.1007/978-3-642-30867-3_28","Chapter"
"The service-dominant logic and the future of marketing","Journal of the Academy of Marketing Science","","36","1","10.1007/s11747-007-0075-8","David BallantyneRichard J. Varey","2008","http://link.springer.com/article/10.1007/s11747-007-0075-8","Article"
"Phenotypic plasticity and “cultural transmission” of alternative social organizations in the fire ant Solenopsis invicta","Behavioral Ecology and Sociobiology","","33","2","10.1007/BF00171663","Laurent KellerKenneth G. Ross","1993","http://link.springer.com/article/10.1007/BF00171663","Article"
"A holistic market conceptualization","Journal of the Academy of Marketing Science","","43","1","10.1007/s11747-014-0383-8","Cristina MeleJaqueline PelsKaj Storbacka","2015","http://link.springer.com/article/10.1007/s11747-014-0383-8","Article"
"An expanded and strategic view of discontinuous innovations: deploying a service-dominant logic","Journal of the Academy of Marketing Science","","36","1","10.1007/s11747-007-0066-9","Stefan MichelStephen W. BrownAndrew S. Gallan","2008","http://link.springer.com/article/10.1007/s11747-007-0066-9","Article"
"Conceptualizing smart service systems","Electronic Markets","","","","10.1007/s12525-017-0270-5","Daniel BeverungenOliver MüllerMartin MatznerJan MendlingJan vom Brocke","2017","http://link.springer.com/article/10.1007/s12525-017-0270-5","Article"
