BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5,DOI
6,"","Lin2015","Lin, Jie-heng; Chien, Pei Yu","The business model and co-creation value in music industry: From product dominant to service dominant","",,,"August","2516--2521",2015,"","","","Proc. Portland Int. Conf. Management of Engineering and Technology (PICMET)","","","","","","","","","","","","","","analytic hierarchy process, innovation management, Internet, music, business model, cocreation value, product dominant logic, digital music, Internet, PDL, service dominant logic, SDL, service innovation, PFI model, complementary assets, technological innovation, market sensing capability, Chinese pop music industry, AHP approach, Companies, Music, Technological innovation, Industries","","","10.1109/PICMET.2015.7273086"
6,"","Breidbach2015","Breidbach, C. F.; Chandler, J. D.; Maglio, P. P.","The Duality of Second Screens: A Phenomenological Study of Multi-platform Engagement and Service Experiences","",,,"January","1432--1441",2015,"","","","Proc. 48th Hawaii Int. Conf. System Sciences","","","","","","","","","","","","","","human factors, mobile computing, mobile handsets, telecommunication traffic, Web services, second screen duality, multiplatform engagement, multiplatform service experiences, Internet traffic, mobile devices, service innovation research, service innovation practice, multidevice use, service-dominant logic, SD logic, digital entertainment services, digital service experiences, Technological innovation, Interviews, Entertainment industry, Switches, Context, Games, Internet, Second Screen, Engagement, Service Experience, Duality","","","10.1109/HICSS.2015.174"
6,"","Aristizabal2015","Aristizábal, M.; Urrego, G.; Aristizábal, M.; Aristizábal, C.","Potential and dynamic value measuring","",,,"June","1--6",2015,"","","","Proc. 10th Iberian Conf. Information Systems and Technologies (CISTI)","","","","","","","","","","","","","","value engineering, potential value measurement, dynamic value measurement, value creation, value co-creation, phenomenological analysis, customer experience, exchange value, use value, ADES methodology, service design, Media, Internet, Surges, Collaboration, Context, Transforms, Context modeling, Service Dominant Logic, value creation, potential value, dynamic value, systemic archetypes","","","10.1109/CISTI.2015.7170561"
6,"","Zhou2014","Zhou, Z.; Lin, Y.; Yue, F.","Service-dominant logic for exploring modular business service system","",,,"October","108--112",2014,"","","","Proc. IEEE Int. Conf. Service Operations and Logistics and Informatics","","","","","","","","","","","","","","commerce, formal logic, service-dominant logic perspective, modular business service system, theory building, service-focused view, customer-oriented view, rational view, service modularization, Companies, Switches, service-dominant logic, service modularity, process modularity, organization modularity, value co-creation, case study","","","10.1109/SOLI.2014.6960702"
6,"","Wan2014","Wan, Z.; Zhang, M.","Value propositions in accordance with service-dominant logic and service science: New insights into the Zhongguancun electrics market","",,,"October","177--182",2014,"","","","Proc. IEEE Int. Conf. Service Operations and Logistics and Informatics","","","","","","","","","","","","","","power markets, value engineering, Zhongguancun electric market, service-dominant logic, IT market, service science, reciprocal value proposition, multiple service network, service dialogical communication, Chinese electronics market, Lead, value proposition, service dominant logic, service science, service actors, service invitation, service dialogical communication, service innovation, Zhongguancun market","","","10.1109/SOLI.2014.6960715"
6,"","Siltaloppi2014","Siltaloppi, J.; Vargo, S. L.","Reconciling Resource Integration and Value Propositions -- The Dynamics of Value Co-creation","",,,"January","1278--1284",2014,"","","","Proc. 47th Hawaii Int. Conf. System Sciences","","","","","","","","","","","","","","service industries, resource integration, value propositions, value co-creation dynamics, service-dominant logic, service science, taken-for-granted social structures, idiosyncratic local contexts, Context, Ecosystems, Biological system modeling, Technological innovation, Proposals, Lenses, Dynamic scheduling, Resource integration, Service-dominant logic, Service science, Value proposition","","","10.1109/HICSS.2014.165"
6,"","Sakano2014","Sakano, H.; Kosaka, M.","New product planning process in the age of Service Dominant Logic","",,,"July","2158--2165",2014,"","","","Proc. PICMET '14 Conf.: Portland Int. Center for Management of Engineering and Technology; Infrastructure and Service Integration","","","","","","","","","","","","","","manufacturing industries, marketing, production planning, new product planning process, service dominant logic, goods dominant logic, GDL, sophisticated process, service marketing mix, product planning theory, service value creation, SDL marketing age, Companies, Dictionaries, Planning, Manufacturing, Industries, Software","","",""
6,"","Oshio2014","Oshio, K.","The role of “knowledge white space” in products for value co-creation with customers in service dominant logic","",,,"July","3381--3387",2014,"","","","Proc. PICMET '14 Conf.: Portland Int. Center for Management of Engineering and Technology; Infrastructure and Service Integration","","","","","","","","","","","","","","customer satisfaction, knowledge management, product development, knowledge white space, value co-creation, service dominant logic, commoditized products, product selling price, business-to-business products, business-to-consumer products, product performance, SDL, customer needs, Companies, White spaces, Concrete, Software, Proposals, Maintenance engineering","","",""
6,"","Ohnishi2014","Ohnishi, T.; Kosaka, M.","Proposal for a new framework for a medical service system using smartphones","",,,"July","18--23",2014,"","","","Proc. PICMET '14 Conf.: Portland Int. Center for Management of Engineering and Technology; Infrastructure and Service Integration","","","","","","","","","","","","","","marketing data processing, medical administrative data processing, smart phones, medical service system, smartphones, service dominant logic, SDL, value-in-context, value cocreation, value-in-use, operant resource configuration, subordinate service systems, value-in-exchange, Technological innovation, Smart phones, Medical services, Medical diagnostic imaging, Proposals, Economics, Context","","",""
6,"","Mountford2014","Mountford, G. A.; Weeks, R. V.; Erasmus, L. D.","An investigation into the internal business logic required for successful strategic customer service initiatives in organisations offering clients an integrated package of products and services","",,,"July","2226--2234",2014,"","","","Proc. PICMET '14 Conf.: Portland Int. Center for Management of Engineering and Technology; Infrastructure and Service Integration","","","","","","","","","","","","","","customer services, organisational aspects, product development, sampling methods, strategic planning, internal business logic, successful strategic customer service initiatives, integrated products-services package, customer service strategies, product development departments, service-oriented organisations, service culture, service-dominant logic, service-transition strategies, focus groups, sampling strategy, service-dominant environment, complex-adaptive systems theory, organisational management, complex-adaptive systems management theory, Customer services, Organizational aspects, Product development, Customer satisfaction, Production, Manufacturing","","",""
6,"","Clavier2014","Clavier, P. R.; Lotriet, H. H.; v. Loggerenberg, J. J.","Towards a "BI Value Coin": Applying Service Research to Address Business Intelligence Challenges","",,,"January","1324--1333",2014,"","","","Proc. 47th Hawaii Int. Conf. System Sciences","","","","","","","","","","","","","","competitive intelligence, data mining, BI value coin, business intelligence challenges, knowledge discovery, knowledge application, BI value emergence, S-D Logic, Spohrer coin analogy, service research concepts, service-dominant logic, service system theory, operand resources, Bismuth, Organizations, Decision making, Artificial intelligence, Production, Lenses, Business intelligence, BI, value, Service-Dominant Logic, S-D Logic, Goods-Dominant Logic, G-D Logic, Service Systems Theory","","","10.1109/HICSS.2014.170"
6,"","Chin2014","Chin, Y.; Wu, F.","A study on operating pattern of restaurant franchise from the service-dominant logic perspective","",,,"September","312--316",2014,"","","","Proc. IEEE Int. Conf. Management of Innovation and Technology","","","","","","","","","","","","","","catering industry, franchising, innovation management, value engineering, restaurant franchise operating pattern, service-dominant logic perspective, innovation service management, value co-creation characteristic variable, service management, Taiwan, priority development industry, national service development plan, Wang Steak, core capacity, oversea partnership opportunities, servicing resources, toolkits, Technological innovation, Industries, Data collection, Economics, Companies, Service Innovation, Service-Dominant Logic, Restaurant Franchise, Qualitative Research, Case Study","","","10.1109/ICMIT.2014.6942444"
6,"","Chew2014","Chew, E. K.","Linking a Service Innovation-Based Framework to Business Model Design","",1,,"July","191--198",2014,"","","","Proc. IEEE 16th Conf. Business Informatics","","","","","","","","","","","","","","innovation management, retail data processing, technological innovations, customer-centric business models, service innovation-based conceptual framework, value cocreation principle, service dominant logic, service concept design, outside-in end-user view, technology-based retail business model, service innovation-based business model design method, Organizations, Technological innovation, Design methodology, Context, Ecosystems, Computer architecture, service innovation, business model design, service concept design, technology innovation, Amazon","","","10.1109/CBI.2014.23"
6,"","Cheng2014","Cheng, P.; Xue, W.","Corporate image, customer participation and service quality: From social identity theory perspective","",,,"June","1--5",2014,"","","","Proc. 11th Int. Conf. Service Systems and Service Management (ICSSSM)","","","","","","","","","","","","","","corporate modelling, corporate social responsibility, cosmetics, customer services, social sciences, corporate image, customer participation, service quality, social identity theory perspective, marketing philosophy, goods-dominant logic, service-dominant logic, delivery process, service production process, service firm manager, hairstyle industry, consumer, structural equation model, Production, Atmospheric measurements, Particle measurements, Mathematical model, Industries, Context, Organizations, Corporate image, Customer Participation, Service Quality","","","10.1109/ICSSSM.2014.6874039"
6,"","Belal2014","Belal, H. M.; Yoneda, T.; Takahashi, N.; Hirata, N.; Amemiya, K.; Yamamoto, M.; Ikeda, Y.; Shirahada, K.","Approach for organizational service climate creation: Action research in a Japanese monitor maker","",,,"July","2449--2454",2014,"","","","Proc. PICMET '14 Conf.: Portland Int. Center for Management of Engineering and Technology; Infrastructure and Service Integration","","","","","","","","","","","","","","corporate modelling, innovation management, knowledge management, manufacturing industries, organisational aspects, value engineering, Japanese monitor maker, organizational service climate creation, matured manufacturing industries, value cocreation process, value proposition, corporate business success, technical personnel, service oriented thinking, knowledge cocreation, service dominant logic, service climate creation, corporate business model generation methodology, service-based innovation, servitization promotion, Companies, Meteorology, Technological innovation, Monitoring, Silicon carbide","","",""
6,"","Barnett2014","Barnett, W.; Foos, A.; Gruber, T.; Keeling, D.; Keeling, K.; Nasr, L.","Consumer perceptions of Interactive Service Robots: A Value-Dominant Logic perspective","",,,"August","1134--1139",2014,"","","","Proc. 23rd IEEE Int. Symp. Robot and Human Interactive Communication","","","","","","","","","","","","","","human-robot interaction, retailing, service robots, user centred design, interactive service robots, value-dominant logic perspective, HRI research, visual projective technique, consumer value perceptions, retail service environment, behavioral norms, social norms, consumer oriented value-based approach, user-centered design, requirements gathering, multidisciplinary collaborations, marketing, Interviews, Service robots, Visualization, Security, Robot sensing systems, Educational institutions","","","10.1109/ROMAN.2014.6926404"
6,"","Akram2014","Akram, A.; Bergquist, M.; Åkesson, M.","Digital Visions vs. Product Practices: Understanding Tensions in Incumbent Manufacturing Firms","",,,"January","4516--4525",2014,"","","","Proc. 47th Hawaii Int. Conf. System Sciences","","","","","","","","","","","","","","commerce, manufacturing systems, organisational aspects, service-oriented architecture, digital visions, product practices, incumbent manufacturing firms, digital services, organizations, servitization process, service oriented business, remote diagnostics services, Manufacturing, Vehicles, Companies, Interviews, Technological innovation","","","10.1109/HICSS.2014.562"
6,"","Zolnowski2013","Zolnowski, A.; Böhmann, T.","Customer Integration in Service Business Models","",,,"January","1103--1112",2013,"","","","Proc. 46th Hawaii Int. Conf. System Sciences","","","","","","","","","","","","","","customer relationship management, value engineering, customer integration, service business model, business model ontology, Osterwalder, service dominant logic, value cocreation, value creation process, Biological system modeling, Ontologies, Analytical models, Companies, Interviews, Economics, business models, service, co-creation, customer integration, service-dominant logic","","","10.1109/HICSS.2013.158"
6,"","Zhendong2013","Zhendong, Z.; Shoulian, T.; Vialle, P.","The study of customer value in the context of service-dominant logic","",1,,"November","423--426",2013,"","","","Proc. Innovation Management and Industrial Engineering 2013 6th Int. Conf. Information Management","","","","","","","","","","","","","","customer services, innovation management, service industries, value engineering, customer value creation, service-dominant logic context, firm core competence, good-dominant logic context, service industry, information technology, G-D logic, innovation, S-D logic, Economics, Manufacturing, Business, Industries, Production, Context, Educational institutions, customer value, service dominant logic(S-D logic), value creation, modern service industry","","","10.1109/ICIII.2013.6702964"
6,"","Xu2013","Xu, Y.; Wang, D.; Liu, C.","Contemporary service theories integrated into construction project management","",,,"July","90--95",2013,"","","","Proc. 10th Int. Conf. Service Systems and Service Management","","","","","","","","","","","","","","construction industry, customer satisfaction, customer services, project management, contemporary service theory, construction project management, project-based enterprises, operational processes, service science, service-dominant logic, construction industry, Project management, Organizations, Educational institutions, Construction industry, Contracts, Economics, Communities, construction, project management service system, service-dominant logic, service science","","","10.1109/ICSSSM.2013.6602612"
6,"","Westergren2013","Westergren, U. H.; Wennerholm, E.","Exploring Service System Resources: The Role of Technology","",,,"January","1317--1326",2013,"","","","Proc. 46th Hawaii Int. Conf. System Sciences","","","","","","","","","","","","","","computerised monitoring, data analysis, information management, manufacturing data processing, resource allocation, trusted computing, service system resource exploration, service-dominant logic, goods-dominant logic, remote monitoring system, service system perspective, resource tracing, value creation, value propositions, RMS, organization, data collection, data analysis, trust relationships, shared information, Maintenance engineering, Organizations, Interviews, Production, Law, Remote monitoring","","","10.1109/HICSS.2013.221"
6,"","Wan2013","Wan, Z.; Zhang, M.","Value cocreation through resource integration: New insights into container inpection ecosystems the lens of service dominant logic and systems","",,,"July","528--533",2013,"","","","Proc. IEEE Int. Conf. Service Operations and Logistics and Informatics","","","","","","","","","","","","","","containers, formal logic, government, tariffs, value cocreation, resource integration, container inspection ecosystems, service dominant logic, S-D logic, resource integrators, government service market, customs container inspection context, service-dominant systems, Chinese customs container inspection industry, Ecosystems, Context, Containers, Inspection, Economics, Dynamic scheduling, Educational institutions, service dominant logic, resource integration actors, value cocreation, service ecosystem, service science","","","10.1109/SOLI.2013.6611471"
6,"","Tseng2013","Tseng, F.; Chen, J.; Weng, H.","Co-opetition and Service Innovation","",,,"May","5--12",2013,"","","","Proc. Fifth Int. Conf. Service Science and Innovation","","","","","","","","","","","","","","innovation management, firm performance, SDL, service-dominant logic, co-opetition dynamics, service innovation, Technological innovation, Industries, Companies, Couplings, Uncertainty, Service-Dominant Logic, Service Innovation, Resource Based View, Co-opetition","","","10.1109/ICSSI.2013.12"
6,"","Sakano2013","Sakano, H.; Kosaka, M.","A consideration on success factors in product innovation from the viewpoints of value co-creation with customers","",,,"July","53--59",2013,"","","","Proc. 10th Int. Conf. Service Systems and Service Management","","","","","","","","","","","","","","customer services, innovation management, manufacturing industries, product design, strategic planning, product innovation success factors, customer value cocreation, manufacturing companies, product planning processes, product design, product value-in-use, service dominant logic, Companies, Dictionaries, Planning, Electronic publishing, Industries, Manufacturing, knowledge space, product innovation, product planning, recursive approach, service field, value in use, value co-creation","","","10.1109/ICSSSM.2013.6602624"
6,"","Reyes2013","Reyes, C.","An e-service collaborative system for the wine industry in Chile","",,,"July","837--843",2013,"","","","Proc. 10th Int. Conf. Service Systems and Service Management","","","","","","","","","","","","","","groupware, knowledge based systems, organisational aspects, production engineering computing, service-oriented architecture, wine industry, e-service collaborative system, global wine industry, new world producer countries, competition scenery, wineries, business schemes, markets penetration, electronic marketplaces, e-collaboration framework, Chilean wine industry, service-dominant logic paradigm, service-based relations, knowledge-based relations, technology-organization-environment framework, TOE, resource-based-view theories, RBV, Wineries, Companies, Technological innovation, Knowledge engineering, E-collaboration framework, wine industry, small and medium enterprises, cluster, electronic marketplaces, SD logic, Technology-organization-environment (TOE) framework, resource-based-view (RBV)","","","10.1109/ICSSSM.2013.6602540"
