id,arquivo,tipo,txtorigem,txttranslate,datahoracarga,datahoratranslate
22,2018-Berg et al,###,"In this article, we present results from systematicmapping studies of software startup research from 1994 to 2017. To do so, we expand previous literature (Paternoster et al., 2014; Klotins et al., 2015) with the focus on papers published from 2013 to 2017.We found 27 relevant articles during the last ﬁve years. The results were merged and compared to the previous mapping studies. To address RQ1, the papers were structured according to the knowledge areas identiﬁed in SWEBOK (Bourque and Fairley, 2014). With RQ2, we evaluated the papers’ rigour to compare the quality of papers published before and after 2013. Finally, with RQ3,we examined towhat extent the retrieved papers provided suﬃcient startup descriptions, and if there were similarities in the use of terms describing the startup context between the papers. Ourmeta-analysis on Software Engineering knowledge area and startup case context reveals important areas for investigation. We also come up with a classiﬁcation of future research on software startups. The contribution of thismapping study is two-fold. Firstly, the study provides a comprehensive view of software startup for Software Engineering researchers. Possible research gap is derived for future study. Secondly, the study provides a map of the contextual setting of investigated startups. Contextual map infers the applicability area of empirical ﬁndings from the startups. This would help to compare and to generalize future research in software startups. The paper proceeds as follows: Section 2 introduces the background of the study and the related mapping studies. Section 3 presents the research method undertaken and threats to the validity of the mapping study. Section 4 reports the results and visualizes both our ﬁndings and the ﬁndings of the previous mapping studies. Section 5 discusses the results in relation to the research questions. Section 6 concludes the paper by answering the research questions and presents implications and future work.",,09/05/2019 23:21:50,
23,2018-Berg et al,###,2. Background,,09/05/2019 23:21:50,
24,2018-Berg et al,###,2.1. Software startups,,09/05/2019 23:21:50,
25,2018-Berg et al,###,"A startup can be deﬁned as an organization that is challenged by youth and immaturity, with extremely limited resources, multiple inﬂuences, and dynamic technologies and markets (Sutton Jr, 2000).",,09/05/2019 23:21:50,
26,2018-Berg et al,###,256,,09/05/2019 23:21:50,
27,2018-Berg et al,###,"More speciﬁcally, Coleman and O’Connor (2008a) describe software startups as unique companies that develop software through various processes and without a prescriptive methodology. Others have characterized software startups as modern organizations with little or no operating history, aiming at developing high-tech and innovative products, and rapidly scale their business in extremely dynamic markets (Giardino et al., 2014). Software startups develop innovative software products in environments of time-pressure and a lack of resources, constantly searching for sustainable and scalable business models. This is in contrast to established companies, that have more resources and already command a mature market (Unterkalmsteiner et al., 2016). While established companies focus on optimizing an existing business model, startups focus on ﬁnding one, which requires experimentation of various products in diﬀerent markets (Ries, 2011). Instead of developing software for a speciﬁc client, software startups develop systems which have market-driven requirements, meaning they have no speciﬁc customers before their product is released (Chanin et al., 2017; Raﬁq et al., 2017). There exist many processes to manage product development (i.e., processes concerned with how to develop a product), like agile and waterfall methods. (e.g., agile and waterfall). However, these processes do not focus on addressing what product to develop, which is essential in the startup context where both problems and solutions tend to be poorly understood (Bosch et al., 2013). The high failure rates of software startups are often caused by a lack of customers rather than product development issues (Marmer et al., 2011; Chanin et al., 2017).",,09/05/2019 23:21:50,
28,2018-Berg et al,###,2.2. Startup development methodology,,09/05/2019 23:21:50,
29,2018-Berg et al,###,"Software startups generally develop products in high-potential target markets (Blank, 2013b), without necessarily knowing what the customers want (Raﬁq et al., 2017). This relates to market-driven software development, which emphasizes the importance of speciﬁc requirement elicitation techniques (e.g., prototyping), and time-tomarket as key strategic objectives (Raﬁq et al., 2017; Nguyen-Duc et al., 2017). In amarket-driven context, requirements tend to be (1) invented by the software company, (2) rarely documented (Karlsson et al., 2002), and (3) validated only after the product is released in the market (Raﬁq et al., 2017; Carmel, 1994; Dahlstedt, 2003; Keil and Carmel, 1995). As to this, products that don’t meet customer needs are common, resulting in failure of new product releases (Alves et al., 2006). Entrepreneurial and customer focused development approaches like (Blank, 2013a; Alvarez and Barney, 2007; Sarasvathy, 2001; Maurya, 2012) have received attention from the research community. The customer development process introduced by Blank (Blank, 2013a) can be divided into four phases: (1) customer discovery, (2) customer validation, (3) customer creation, and (4) company building. A frequently applied entrepreneurship theory among entrepreneurs is Lean Startup, which builds on the principles from Blank. The method has been criticized by researchers for being based on personal experience and opinions rather than empirical evidence, however, concepts from the Lean Startup have attracted considerable attention among practitioners (Bosch et al., 2013; Blank, 2013b).",,09/05/2019 23:21:50,
30,2018-Berg et al,###,"2.2.1. Lean Startup Ries (2011) presented the Lean Startup method in 2008, based on lean principles ﬁrst introduced by Womack et al. (1990). The method aims at creating and managing startups, to deliver products or services to customers as fast as possible. Themethod provides principles for how to run a new business, where the goal is to grow the business with maximum acceleration. By iteratively turning ideas into products, measure customers’ satisﬁability, and learn from their feedback, startups can accelerate their business. This process is referred to as the build-measure-learn (BML) feedback loop, which is an iterative process, where the goal is to minimize the total time through the loop.",,09/05/2019 23:21:50,
31,2018-Berg et al,###,,,09/05/2019 23:21:50,
32,2018-Berg et al,###,"Key to the BML feedback loop is to do continuous experimentation on customers to test hypotheses. The hypotheses can be tested by building a minimum viable product (MVP), which is the simplest form of an idea, product, or service that can answer the hypotheses. Any feature, process, or eﬀort not directly contributing to answering the hypotheses, is removed. The aim is to eliminate any waste throughout the process. Empirical research has found three main types of MVP usage, including (1) MVP as a design artifact, (2) MVP as a boundaryspanning object, and (3) MVP as a reusable artifact (Nguyen-Duc and Abrahamsson, 2016). MVPs can be used to bridge knowledge gaps within organizations or to provide a mutual understanding between customer input and product design. When the MVP has been built and the hypotheses tested, the next step is to measure the customer feedback and learn from it. This is referred to as validated learning, which is about learning which eﬀorts are value-creating and eliminate the eﬀorts that aren’t necessary for learning customer needs. The ﬁnal step of the loop is whether to pivot or persevere. A pivot is a structured course correction designed to test a new fundamental hypothesis about the product, strategy, and engine of growth (Ries, 2011). Bajwa et al. (2017) identiﬁed 10 pivot types and 14 triggering factors, concluding that trying to solve the wrong problem for the customer is the most common reason for pivoting (i.e., customer need pivot). If a pivot isn’t required, meaning the MVP was found to be ﬁt to market, the startup perseveres. The BML feedback loop then continues, where new hypotheses are tested and measured. The Lean Startupmethod is beneﬁcial for business development and understanding what product to develop, emphasizing the importance of getting the product to customers as soon as possible. Startups tend to prefer time and cost over product quality (Yau and Murphy, 2013), neglecting traditional process activities like formal project management, documentation, and testing (Giardino et al., 2016). Shortcuts taken in product quality, design, or infrastructure can eventually inhibit learning and customer satisfaction (Ries, 2011). Software startups need their own development practices to manage the challenges posed by customer development methods such as Lean Startup.",,09/05/2019 23:21:50,
33,2018-Berg et al,###,"2.3. Software engineering in startups Software startup engineering can be deﬁned as “the use of scientiﬁc, engineering, managerial, and systematic approaches with the aim of successfully developing software systems in startup companies” (Giardino et al., 2016). The degree of process in software development is dependent on system complexity, business risk, and the number of people involved (Wasserman, 2016). The impact of the inadequate use of software engineering practices might be a signiﬁcant factor leading to the high failure rates (Klotins et al., 2015). As time and resources are extremely scarce in environments of high market and technology uncertainty, software startups need eﬀective practices to face those unique challenges (Giardino et al., 2014). The need for process depends on the lifecycle stage of the company, divided into four stages (Crowne, 2002). (cid:129) Stage 1: The startup stage is deﬁned as the time from idea conceptualization to the ﬁrst sale. A small executive team with necessary skills is required in order to build the product.(cid:129) Stage 2: The stabilization phase lasts until the product is stable enough to be commissioned to a new customer without causing any overhead on product development.(cid:129) Stage 3: The growth phase begins with a stable product development process and lasts untilmarket size, share, and growth rate have been established.(cid:129) Stage 4: The last stage is when the startup has evolved into a mature organization. The product development is robust and easy to predict, with proven processes for new product inventions.",,09/05/2019 23:21:50,
34,2018-Berg et al,###,"Startups are creative and ﬂexible by nature, and so strict release processes are often overshadowed by quick, inexpensive product",,09/05/2019 23:21:50,
35,2018-Berg et al,###,257,,09/05/2019 23:21:50,
36,2018-Berg et al,###,"releases, with focus on customer acquisition (Wasserman, 2016). This can often result in ineﬀective software engineering practices (Sutton Jr, 2000). Since startups have limited resources, the focus is often directed towards product development, rather than focusing on the establishment of rigid processes (Coleman and O’Connor, 2008a). It is important to notice that in terms of communication and cooperation dynamics, startups and established companies have different software engineering experiences and needs (Yau and Murphy, 2013). While established companies have well-deﬁned processes for their business, startups usually have low-ceremony processes (Kuhrmann et al., 2016), which means that the amount of management overhead is low. Instead of utilizing repeatable and controlled processes, startups take advantage of reactive and low-precision engineering practices with a focus on the productivity and freedom of their teams (Tanabian and ZahirAzami, 2005; Chorev and Anderson, 2006; Kakati, 2003). Reactive, low-ceremony processes are powerful in the early stages of software development since speed and learning are important (Ries, 2011). However, as startups enter new lifecycle stages, an increased usage of processes for addressing key customer needs, delivering functional code early and often, and providing a good user experience is required (Kuhrmann et al., 2016). New business issues like hiring, sales, and funding appear, and more users and complex code require an extended focus on robustness, scalability, performance, and power consumption (Wasserman, 2016). The use of methods like the Lean Startup is one of the reasons why software startups need and sometimes apply their own software engineering practices, which pose challenges when it comes to software engineering. Lean Startup is beneﬁcial for business and product development, but when it comes to software development, a more hybrid approach of agile and lean may provide the most beneﬁts in terms of cost, time, quality, and scope (Yau and Murphy, 2013).",,09/05/2019 23:21:50,
37,2018-Berg et al,###,2.4. Existing literature reviews,,09/05/2019 23:21:50,
38,2018-Berg et al,###,"Since the gap in research speciﬁc to software engineering in startups ﬁrst was identiﬁed (Sutton Jr, 2000), there have only been undertaken two mapping studies entirely dedicated to the research area (Paternoster et al., 2014; Klotins et al., 2015). There also exist relevant work related to SMEs (small and medium-sized enterprises) (Tripathi et al., 2016), and VSEs (very small entities), which become more relevant as startups enter more mature lifecycle stages, however, the early stages of startups pose some speciﬁc challenges and needs (e.g., little working/operating history). The ﬁrst systematic mapping by Paternoster et al. (2014) covered studies up to December 2013, aiming at structuring and analyzing stateof-the-art on software startup research. The conclusion of the paper is that there existed few high-quality studies contributing to the body of knowledge and that there is a need for more studies supporting startups for all lifecycle stages. From a total of 43 primary studies, only 4 papers (Coleman and O’Connor, 2008a; 2008b; 2007; Kajko-Mattsson and Nikitina, 2008) were considered as strong contributions and entirely dedicated to software engineering activities in startups. The results showed that startups choose their software engineering practices opportunistically, and adapt them to their own context. Klotins et al. (2015) conducted a mapping study published in 2015, classifying 14 primary studies on software startup engineering into 11 of 15 SWEBOK knowledge areas. The paper concludes as Paternoster et al. (2014), that research did not provide support for any challenges or engineering practices in startups, and that available research results were hard to transfer between startups due to low rigour. This was explained by the lack of contextual information in the studies, and how the studies were performed.",,09/05/2019 23:21:50,
39,2018-Berg et al,###,,,09/05/2019 23:21:50,
40,2018-Berg et al,###,"Fig. 1. The systematic mapping study process (Petersen et al., 2008).",,09/05/2019 23:21:50,
41,2018-Berg et al,###,Table 1 The searched databases and number of retrievals. Database Papers,,09/05/2019 23:21:50,
42,2018-Berg et al,###,Scopus 451 ISI web of science 121 Engineering village compendex 875 Total 1447,,09/05/2019 23:21:50,
43,2018-Berg et al,###,"papers, a quality assessment was performed on the papers that provided empirical evidence. The complete assessment can be found in Table B.10.",,09/05/2019 23:21:50,
44,2018-Berg et al,###,"Step 5: Data extraction and synthesis. From the primary papers, relevant data and information were extracted into a classiﬁcation schema. A multi-step synthesis was performed to answer the research questions.",,09/05/2019 23:21:50,
45,2018-Berg et al,###,3. Research methodology,,09/05/2019 23:21:50,
46,2018-Berg et al,###,3.2. Data sources and search strategy,,09/05/2019 23:21:50,
47,2018-Berg et al,###,"A systematic mapping study was undertaken to provide an overview of the research available in the ﬁeld of software engineering speciﬁc to startups, following guidelines from Kitchenham (2004) and several steps of the standardized process for systematic mapping studies, as illustrated in Fig. 1 (Petersen et al., 2008). Systematic mapping studies can be used in research areas with few relevant primary studies of high quality, as they provide a coarsegrained overview of the publications within the topic area (Petersen et al., 2008). This systematic mapping study covers 74 primary papers, extending the two previous mapping studies (Paternoster et al., 2014; Klotins et al., 2015). As these studies only cover three papers from 2013, the search strategy of this systematic mapping study included papers from 2013 up to October 2017. This approach allowed for merging and comparing the primary literature within the research ﬁeld for the period 1994–2017. The main steps of our process are illustrated in Fig. 1, and include the search and study selection strategies, manual search, data extraction, quality assessment, and the data synthesismethod. The process led to a total number of 27 new primary papers found in Table A.7.",,09/05/2019 23:21:50,
48,2018-Berg et al,###,3.1. Mapping procedure,,09/05/2019 23:21:50,
49,2018-Berg et al,###,Step 1: Pilot search. Pilot searches were performed in online databases to ﬁnd an optimal search string and the most suitable databases. The searches helped to deﬁne the criteria for inclusion and quality assessment and the classiﬁcation schema.,,09/05/2019 23:21:50,
50,2018-Berg et al,###,"Step 2: Search strategy and study selection. Based on the search string, a total number of 1012 unduplicated papers were retrieved. This was further limited to 74 (titles), 28 (abstracts), and ﬁnally, 20 papers after a collaborate eﬀort from the ﬁrst and second author was conducted. The full-text of the remaining 20 papers was read.",,09/05/2019 23:21:50,
51,2018-Berg et al,###,"Step 3: Additional manual search. A manual search was performed to ﬁnd more relevant papers. The publication lists of relevant authors were scanned, and the forward snowballing technique was used (Wohlin, 2014). For the forward snowballing, Google Scholar was used to examining the citations of the papers retrieved. This resulted in seven more relevant papers. These were either not published in the databases, or were overlooked in step 2.",,09/05/2019 23:21:50,
52,2018-Berg et al,###,Step 4: Quality assessment. To identify the rigour of the remaining,,09/05/2019 23:21:50,
53,2018-Berg et al,###,"The systematic search strategy consisted of searches in three online bibliographic databases (Table 1). The databases were selected from their ability to handle complex search strings, their general use in similar literature reviews in the software engineering community (Paternoster et al., 2014; Tripathi et al., 2016), and the fact that they index the research articles from other databases. In addition, to ensure the best possible coverage of the literature, we performed complementary searches and forward snowballing (Section 3.4 Manual Search). Following guidelines from Wohlin (2014), systematic literature studies should use a combination of approaches for identifying relevant literature, where forward snowballing is found particularly useful. Forward snowballing can reduce systematic errors related to the selection of databases and construction of the search string (Wohlin, 2014). To obtain high-quality data, the following databases were used: Initial searches in the databases were conducted to identify keywords related to software engineering and startups, targeting title, abstract, and keywords. The most frequently used keywords for “startup” were chosen and combined in the search string (Paternoster et al., 2014). The ﬁnal search string consisted of several search terms combined using the Boolean operator “OR”: “(startups OR start-up OR startup) AND software engineering OR (startups OR start-up OR startup) AND software development OR (startups OR start-up OR startup) AND software AND agile OR (startups OR start-up OR startup) AND software process OR (startups OR start-up OR startup) AND software tools.”",,09/05/2019 23:21:50,
54,2018-Berg et al,###,3.3. Study selection,,09/05/2019 23:21:50,
55,2018-Berg et al,###,"The study selection process is illustrated in Fig. 2, along with the number of papers at each stage. Searching the databases Scopus, ISI Web of Science, and Engineering Village using the search string returned 1447 papers, resulting in 1012 unduplicated studies. The searches targeted the document types: book chapters, journal article, conference article, conference proceedings, dissertation, and report chapters. Papers were relevant for inclusion in the study if they met the following criteria: (1) investigate concepts/problems/solutions of engineering in software startups, (2) present contributions in the form of lessons learned, framework, guidelines, theory, tool, model, or advice as applied in Paternoster et al. (2014), (3) are not included in any of the previous mapping studies, and (4) studies are written in English. The papers that were selected are scientiﬁc peer-reviewed articles, which is",,09/05/2019 23:21:50,
56,2018-Berg et al,###,258,,09/05/2019 23:21:50,
57,2018-Berg et al,###,,,09/05/2019 23:21:50,
58,2018-Berg et al,###,"Table 2 Quality assessment checklist (Nguyen-Duc et al., 2015a). Problem statement",,09/05/2019 23:21:50,
59,2018-Berg et al,###,Q1. Is research objective suﬃciently explained and well-motivated? Research Design Q2. Is the context of study clearly stated? Q3. Is the research design prepared suﬃciently? Data collection Q4. Are the data collection & measures adequately described? Q5. Are the measures and constructs used in the study the most relevant for answering the research question? Data analysis Q6. Is the data analysis used in the study adequately described? Q7a. Qualitative study: Are the interpretation of evidences clearly described? Q7b. Quantitative study: Are the eﬀect size reported with assessed statistical signiﬁcance? Q8. Are potential alternative explanations considered and discussed in the analysis? Conclusion Q9. Are the ﬁndings of study clearly stated and supported by the results? Q10. Does the paper discuss limitations or validity?,,09/05/2019 23:21:50,
60,2018-Berg et al,###,"papers, 21 were conference papers, ﬁve were journal papers, and one was a book chapter.",,09/05/2019 23:21:50,
61,2018-Berg et al,###,3.5. Quality assessment,,09/05/2019 23:21:50,
62,2018-Berg et al,###,"To build on previous work, a quality assessment of the new primary papers providing empirical evidence was performed. The total number of eligible papers was 22 (Table A.7). Although systematic mapping studies usually don’t evaluate the quality of each paper in such depth as systematic literature reviews, the quality assessment process was undertaken to assess how results were presented in the primary studies. No paper was excluded based on the quality assessment. To assess the rigour, credibility, and relevance of the papers, we adopted the quality assessment scheme from NguyenDuc et al. (2015a). Quality assessment has been identiﬁed as important for performing empirical research in software engineering (Kitchenham, 2004; Ivarsson and Gorschek, 2011). Table 2 illustrates 10 quality evaluation criteria. For each criterion the papers met, they got a score of 1, and otherwise 0. This means that the maximum score a paper could get was 10. A score of 0–3 was regarded as low rigour, 4–6 medium rigour, and 7–10 high rigour. The complete quality assessment can be found in Table B.10.",,09/05/2019 23:21:50,
63,2018-Berg et al,###,3.6. Data extraction and synthesis,,09/05/2019 23:21:50,
64,2018-Berg et al,###,"After the quality assessment, we deﬁned the classiﬁcation schema (Table A.7). Data from each of the 27 newly selected primary studies were then systematically extracted into the classiﬁcation schema, according to the predetermined attributes: (1) SWEBOK knowledge area, (2) Research method, (3) Contribution type, (4) Pertinence, (5) Term for “startup”, (6) Incubator context, (7) Publisher. The chosen attributes were inspired by previous mapping studies (Paternoster et al., 2014; Klotins et al., 2015; Tripathi et al., 2016), and from the process of ﬁnding keywords in the abstracts of the retrieved papers (Petersen et al., 2008). Organizing the ﬁndings into tabular form enabled for easy comparisons across studies and time periods. In addition to classifying the papers, each paper was scanned for thematic concepts to identify researchers’ descriptions of investigated startups. The thematic concepts were adopted from the recurring themes found in Paternoster et al. (2014). This made it possible to assess the agreement in the community to the deﬁnition of startups. The software engineering book of knowledge (SWEBOK) was created to provide a consistent view of software engineering, and to set the boundary of software engineering with respect to other disciplines (Bourque and Fairley, 2014). SWEBOK contains 15 knowledge areas that characterize the practice of software engineering. The focal point of the paper is to propose research directions based on the knowledge",,09/05/2019 23:21:50,
65,2018-Berg et al,###,Fig. 2. The study selection process.,,09/05/2019 23:21:50,
66,2018-Berg et al,###,"independent of the role of authors. We did not ﬁnd experience reports from entrepreneurs, which might make the sample of papers lean towards the researcher community. To decrease the number of papers into a manageable amount, workshops, and papers based on expert opinion were excluded from the review process. As common for systematic mapping studies (Petersen et al., 2008), this study focuses on synthesizing empirical research. Empirical studies are important for evidence-based software engineering research and practice, and for generating a knowledge base leading to accepted and well-formed theories (Kitchenham, 2004; Shull et al., 2007). This study provides an overview of empirical research on software startup engineering to date, and how research has evolved and possibly matured over the time period. The retrieved papers were examined by the ﬁrst and second author, where each author separately reviewed the papers based on titles and abstracts. Disagreements were resolved by discussing the full text of the relevant papers. This was necessary as some of the abstracts were incomplete or poor. At this stage another 8 papers were excluded, making the total of newly selected papers 20, before performing the additional manual search.",,09/05/2019 23:21:50,
67,2018-Berg et al,###,3.4. Manual search,,09/05/2019 23:21:50,
68,2018-Berg et al,###,"A manual search was conducted with the participation of the third author, using the forward snowballing technique (Wohlin, 2014), to identify additional papers not discovered by the search string. Google Scholar was used to examine the citations to the paper being examined. The publication lists of frequently appearing authors were also searched. This resulted in several papers as candidates for inclusion. After assessing title, abstract, and ﬁnally the full text, 7 more papers were included as primary studies (Nguyen-Duc et al., 2017; Nguyen-Duc and Abrahamsson, 2016; Bajwa et al., 2017; 2016; Nguyen-Duc et al., 2016; Duc and Abrahamsson, 2017; Nguven-Duc et al., 2017). Among the",,09/05/2019 23:21:50,
69,2018-Berg et al,###,259,,09/05/2019 23:21:50,
70,2018-Berg et al,###,,,09/05/2019 23:21:50,
71,2018-Berg et al,###,"Fig. 3. Publication frequency, 1994–2017.",,09/05/2019 23:21:50,
72,2018-Berg et al,###,"areas following the work done by existing literature. Since the two major mapping studies in the area follow diﬀerent approaches, that is SWEBOK (Klotins et al., 2015) and focus facets (Paternoster et al., 2014), in the present study we focus on KAs, as this can allow the reader to better comprehend how the two diﬀerent approaches are connected, thus oﬀering a more holistic understanding of the current status in software startup engineering research. Assigning each paper into the speciﬁc knowledge areas was done by the ﬁrst and second author. Two researchers read the titles, keywords, abstracts, and the body of each paper, before evaluating the papers’ conformance with each speciﬁc knowledge area’s description or subareas. 3.7. Threats to validity",,09/05/2019 23:21:50,
73,2018-Berg et al,###,"There are several threats to the validity of systematic mapping studies (Zhou et al., 2016). One threat is related to the data extraction from each paper, where results can be biased from researchers personal judgment. To mitigate this threat, and ensure correct classiﬁcation of each paper into the SWEBOK knowledge areas, this process was performed jointly by the ﬁrst and second author at one computer, resolving any conﬂicts and regulating individual bias. Threats to the retrieval of relevant papers must also be considered. The inconsistent use of terms for “startup” made it diﬃcult to cover all used terms in the search string. Hence, it appeared terms not considered when constructing the search string. Some of these were “founder teams”, “very small enterprise”, “very small entity”, and “very small company”, which all were used in relation to the startup context. Relevant papers might therefore have been overlooked. The use of only three bibliographic databases might have aﬀected the number of relevant papers retrieved. Compared to the number of databases used in similar studies, this seems to be at the low-end. The chosen databases are however among the most used ones in the ﬁeld of software engineering, and the databases that contributed to the most retrieved papers in other studies (Paternoster et al., 2014). The risk of missing papers published the last ﬁve years was mitigated by the use of forward snowballing which lead to the retrieval of seven more papers. To make sure the study selection was not biased from personal opinions, paper selection involved the ﬁrst, second, and third author of the paper, which allowed a collaborative resolution of conﬂicting views, following guidelines from Kitchenham (2004). We deﬁned clear inclusion and exclusion criteria, and a quality assessment checklist to assess each paper’s quality. Disagreement to quality assessment was discussed between author one and two until consensus was reached. This decreased the risk of miss-classifying any relevant papers. For the quality assessment, we only used two points to collect",,09/05/2019 23:21:50,
74,2018-Berg et al,###,"answers, as the ﬁrst and second author were unfamiliar with the research ﬁeld. The papers got a score of 1 if they met the criteria, and otherwise 0. Prior studies have used a more ﬁne-grained classiﬁcation of quality criteria and even used diﬀerent criteria in some occasions. It is more likely that the papers in our study obtained higher rigour than they would have received if another more ﬁne-grained assessment method had been used.",,09/05/2019 23:21:50,
75,2018-Berg et al,###,4. Results,,09/05/2019 23:21:50,
76,2018-Berg et al,###,"This section presents the extracted data of the primary studies. The section is divided into the three research questions to allow for better visualization and presentation of the most relevant ﬁndings. The ﬁnal number of primary papers ended up being 74, adding the 27 new papers to the existing 44.",,09/05/2019 23:21:50,
77,2018-Berg et al,###,4.1. RQ1: How has software startup research changed over time in terms of focused knowledge areas?,,09/05/2019 23:21:50,
