Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Primer on Scientific Programming with Python","Texts in Computational Science and Engineering","","","","10.1007/978-3-642-54959-5","Hans Petter Langtangen","2014","http://link.springer.com/book/10.1007/978-3-642-54959-5","Book"
"Python for Probability, Statistics, and Machine Learning","","","","","10.1007/978-3-319-30717-6","José Unpingco","2016","http://link.springer.com/book/10.1007/978-3-319-30717-6","Book"
"A Primer on Scientific Programming with Python","Texts in Computational Science and Engineering","","","","10.1007/978-3-642-30293-0","Hans Petter Langtangen","2012","http://link.springer.com/book/10.1007/978-3-642-30293-0","Book"
"Python Scripting for Computational Science","Texts in Computational Science and Engineering","","","","10.1007/978-3-540-73916-6","Hans Petter Langtangen","2008","http://link.springer.com/book/10.1007/978-3-540-73916-6","Book"
"A Primer on Scientific Programming with Python","Texts in Computational Science and Engineering","","","","10.1007/978-3-642-18366-9","Hans Petter Langtangen","2011","http://link.springer.com/book/10.1007/978-3-642-18366-9","Book"
"Pyomo – Optimization Modeling in Python","Springer Optimization and Its Applications","","","","10.1007/978-1-4614-3226-5","William E. HartCarl LairdJean-Paul WatsonDavid L. Woodruff","2012","http://link.springer.com/book/10.1007/978-1-4614-3226-5","Book"
"A Primer on Scientific Programming with Python","Texts in Computational Science and Engineering","","","","10.1007/978-3-662-49887-3","Hans Petter Langtangen","2016","http://link.springer.com/book/10.1007/978-3-662-49887-3","Book"
"Python Scripting for Computational Science","Texts in Computational Science and Engineering","","","","10.1007/978-3-662-05450-5","Hans Petter Langtangen","2004","http://link.springer.com/book/10.1007/978-3-662-05450-5","Book"
"Python for Graph and Network Analysis","Advanced Information and Knowledge Processing","","","","10.1007/978-3-319-53004-8","Mohammed Zuhair Al-TaieSeifedine Kadry","2017","http://link.springer.com/book/10.1007/978-3-319-53004-8","Book"
"A Primer on Scientific Programming with Python","Texts in Computational Science and Engineering","","","","10.1007/978-3-642-02475-7","Hans Petter Langtangen","2009","http://link.springer.com/book/10.1007/978-3-642-02475-7","Book"
"Programming for Computations - Python","Texts in Computational Science and Engineering","","","","10.1007/978-3-319-32428-9","Svein LingeHans Petter Langtangen","2016","http://link.springer.com/book/10.1007/978-3-319-32428-9","Book"
"Python Scripting for Computational Science","Texts in Computational Science and Engineering","","","","10.1007/3-540-31269-2","Hans Petter Langtangen","2006","http://link.springer.com/book/10.1007/3-540-31269-2","Book"
"Solving PDEs in Python","Simula SpringerBriefs on Computing","","","","10.1007/978-3-319-52462-7","Hans Petter LangtangenAnders Logg","2016","http://link.springer.com/book/10.1007/978-3-319-52462-7","Book"
"Reinforcement Learning","","","","","10.1007/978-1-4842-3285-9","Abhishek NandyManisha Biswas","2018","http://link.springer.com/book/10.1007/978-1-4842-3285-9","Book"
"Pro Machine Learning Algorithms","","","","","10.1007/978-1-4842-3564-5","V Kishore Ayyadevara","2018","http://link.springer.com/book/10.1007/978-1-4842-3564-5","Book"
"Practical Computer Vision Applications Using Deep Learning with CNNs","","","","","10.1007/978-1-4842-4167-7","Ahmed Fawzy Gad","2018","http://link.springer.com/book/10.1007/978-1-4842-4167-7","Book"
"Practical Quantum Computing for Developers","","","","","10.1007/978-1-4842-4218-6","Vladimir Silva","2018","http://link.springer.com/book/10.1007/978-1-4842-4218-6","Book"
"Learn Keras for Deep Neural Networks","","","","","10.1007/978-1-4842-4240-7","Dr. Jojo Moolayil","2019","http://link.springer.com/book/10.1007/978-1-4842-4240-7","Book"
"Practical Machine Learning and Image Processing","","","","","10.1007/978-1-4842-4149-3","Himanshu Singh","2019","http://link.springer.com/book/10.1007/978-1-4842-4149-3","Book"
"Deep Learning for Natural Language Processing","","","","","10.1007/978-1-4842-3685-7","Palash GoyalSumit PandeyKaran Jain","2018","http://link.springer.com/book/10.1007/978-1-4842-3685-7","Book"
"Practical Video Game Bots","","","","","10.1007/978-1-4842-3736-6","Ilya Shpigor","2018","http://link.springer.com/book/10.1007/978-1-4842-3736-6","Book"
"Natural Language Processing Recipes","","","","","10.1007/978-1-4842-4267-4","Akshay KulkarniAdarsha Shivananda","2019","http://link.springer.com/book/10.1007/978-1-4842-4267-4","Book"
"Foundations of PyGTK Development","","","","","10.1007/978-1-4842-4179-0","W. David AshleyAndrew Krause","2019","http://link.springer.com/book/10.1007/978-1-4842-4179-0","Book"
"Expert Twisted","","","","","10.1007/978-1-4842-3742-7","Mark WilliamsCory BenfieldBrian WarnerMoshe ZadkaDustin MitchellKevin SamuelPierre Tardy","2019","http://link.springer.com/book/10.1007/978-1-4842-3742-7","Book"
"Pro Deep Learning with TensorFlow","","","","","10.1007/978-1-4842-3096-1","Santanu Pattanayak","2017","http://link.springer.com/book/10.1007/978-1-4842-3096-1","Book"
"Practical Web Scraping for Data Science","","","","","10.1007/978-1-4842-3582-9","Seppe vanden BrouckeBart Baesens","2018","http://link.springer.com/book/10.1007/978-1-4842-3582-9","Book"
"Good Habits for Great Coding","","","","","10.1007/978-1-4842-3459-4","Michael Stueben","2018","http://link.springer.com/book/10.1007/978-1-4842-3459-4","Book"
"MicroPython for the Internet of Things","","","","","10.1007/978-1-4842-3123-4","Charles Bell","2017","http://link.springer.com/book/10.1007/978-1-4842-3123-4","Book"
"Beginning Django","","","","","10.1007/978-1-4842-2787-9","Daniel Rubio","2017","http://link.springer.com/book/10.1007/978-1-4842-2787-9","Book"
"PyTorch Recipes","","","","","10.1007/978-1-4842-4258-2","Pradeepta Mishra","2019","http://link.springer.com/book/10.1007/978-1-4842-4258-2","Book"
"Program Arcade Games","","","","","10.1007/978-1-4842-1790-0","Paul Vincent Craven","2016","http://link.springer.com/book/10.1007/978-1-4842-1790-0","Book"
"Beginning Artificial Intelligence with the Raspberry Pi","","","","","10.1007/978-1-4842-2743-5","Donald J. Norris","2017","http://link.springer.com/book/10.1007/978-1-4842-2743-5","Book"
"Block Trace Analysis and Storage System Optimization","","","","","10.1007/978-1-4842-3928-5","Jun Xu","2018","http://link.springer.com/book/10.1007/978-1-4842-3928-5","Book"
"Applied Deep Learning","","","","","10.1007/978-1-4842-3790-8","Umberto Michelucci","2018","http://link.springer.com/book/10.1007/978-1-4842-3790-8","Book"
"wxPython Recipes","","","","","10.1007/978-1-4842-3237-8","Mike Driscoll","2018","http://link.springer.com/book/10.1007/978-1-4842-3237-8","Book"
"Beginning Robotics with Raspberry Pi and Arduino","","","","","10.1007/978-1-4842-3462-4","Jeff Cicolani","2018","http://link.springer.com/book/10.1007/978-1-4842-3462-4","Book"
"Applied Scientific Computing","Texts in Computer Science","","","","10.1007/978-3-319-89575-8","Prof. Peter R. TurnerProf. Thomas ArildsenProf. Kathleen Kavanagh","2018","http://link.springer.com/book/10.1007/978-3-319-89575-8","Book"
"Guide to Programming for the Digital Humanities","SpringerBriefs in Computer Science","","","","10.1007/978-3-319-99115-3","Brian Kokensparger","2018","http://link.springer.com/book/10.1007/978-3-319-99115-3","Book"
"SABR and SABR LIBOR Market Models in Practice","Applied Quantitative Finance series","","","","10.1057/9781137378644","Christian CrispoldiGérald WiggerPeter Larkin","2015","http://link.springer.com/book/10.1057/9781137378644","Book"
"Docker for Data Science","","","","","10.1007/978-1-4842-3012-1","Joshua Cook","2017","http://link.springer.com/book/10.1007/978-1-4842-3012-1","Book"
"The Definitive Guide To Jython","","","","","10.1007/978-1-4302-2528-7","Steve AnglinDuncan ParkesClay AndresMark BecknerEwan BuckinghamGary CornellJonathan GennickJonathan HassellMichelle LowmanMatthew MoodieDuncan ParkesJeffrey PepperFrank PohlmannDouglas PundickBen Renow-ClarkeDominic ShakeshaftMatt WadeTom WelshMary TobinTracy Brown Collins","2010","http://link.springer.com/book/10.1007/978-1-4302-2528-7","Book"
"Building Telegram Bots","","","","","10.1007/978-1-4842-4197-4","Nicolas Modrzyk","2019","http://link.springer.com/book/10.1007/978-1-4842-4197-4","Book"
"Physics of Oscillations and Waves","Undergraduate Texts in Physics","","","","10.1007/978-3-319-72314-3","Dr. Arnt Inge Vistnes","2018","http://link.springer.com/book/10.1007/978-3-319-72314-3","Book"
"Understanding Network Hacks","","","","","10.1007/978-3-662-44437-5","Bastian Ballmann","2015","http://link.springer.com/book/10.1007/978-3-662-44437-5","Book"
"Introduction to Deep Learning Business Applications for Developers","","","","","10.1007/978-1-4842-3453-2","Armando VieiraBernardete Ribeiro","2018","http://link.springer.com/book/10.1007/978-1-4842-3453-2","Book"
"Credit-Risk Modelling","","","","","10.1007/978-3-319-94688-7","David Jamieson Bolder","2018","http://link.springer.com/book/10.1007/978-3-319-94688-7","Book"
"Image Processing using Pulse-Coupled Neural Networks","Biological and Medical Physics, Biomedical Engineering","","","","10.1007/978-3-642-36877-6","Thomas LindbladJason M. Kinser","2013","http://link.springer.com/book/10.1007/978-3-642-36877-6","Book"
"Multiple Criteria Decision Aid","Springer Optimization and Its Applications","","","","10.1007/978-3-319-91648-4","Jason PapathanasiouNikolaos Ploskas","2018","http://link.springer.com/book/10.1007/978-3-319-91648-4","Book"
"A Primer on Process Mining","SpringerBriefs in Information Systems","","","","10.1007/978-3-319-56427-2","Diogo R. Ferreira","2017","http://link.springer.com/book/10.1007/978-3-319-56427-2","Book"
"Computational Metrics for Soccer Analysis","SpringerBriefs in Applied Sciences and Technology","","","","10.1007/978-3-319-59029-5","Prof. Filipe Manuel ClementeDr. João Bernardo SequeirosAcácio CorreiaFrutuoso G. M SilvaFernando Manuel Lourenço Martins","2018","http://link.springer.com/book/10.1007/978-3-319-59029-5","Book"
"Machine Learning with PySpark","","","","","10.1007/978-1-4842-4131-8","Pramod Singh","2019","http://link.springer.com/book/10.1007/978-1-4842-4131-8","Book"
"Practical Django 2 and Channels 2","","","","","10.1007/978-1-4842-4099-1","Federico Marani","2019","http://link.springer.com/book/10.1007/978-1-4842-4099-1","Book"
"Linear Algebra, Signal Processing, and Wavelets - A Unified Approach","Springer Undergraduate Texts in Mathematics and Technology","","","","10.1007/978-3-030-02940-1","Dr. Øyvind Ryan","2019","http://link.springer.com/book/10.1007/978-3-030-02940-1","Book"
"Monetizing Machine Learning","","","","","10.1007/978-1-4842-3873-8","Manuel AmunateguiMehdi Roopaei","2018","http://link.springer.com/book/10.1007/978-1-4842-3873-8","Book"
"Raspberry Pi Image Processing Programming","","","","","10.1007/978-1-4842-2731-2","Ashwin Pajankar","2017","http://link.springer.com/book/10.1007/978-1-4842-2731-2","Book"
"PySpark SQL Recipes","","","","","10.1007/978-1-4842-4335-0","Raju Kumar MishraSundar Rajan Raman","2019","http://link.springer.com/book/10.1007/978-1-4842-4335-0","Book"
"Defending IoT Infrastructures with the Raspberry Pi","","","","","10.1007/978-1-4842-3700-7","Chet Hosmer","2018","http://link.springer.com/book/10.1007/978-1-4842-3700-7","Book"
"Raspberry Pi Supercomputing and Scientific Programming","","","","","10.1007/978-1-4842-2878-4","Ashwin Pajankar","2017","http://link.springer.com/book/10.1007/978-1-4842-2878-4","Book"
"Introduction to Data Science","Undergraduate Topics in Computer Science","","","","10.1007/978-3-319-50017-1","Laura IgualSanti Seguí","2017","http://link.springer.com/book/10.1007/978-3-319-50017-1","Book"
"Statistical Physics and Computational Methods for Evolutionary Game Theory","SpringerBriefs in Complexity","","","","10.1007/978-3-319-70205-6","Dr. Marco Alberto Javarone","2018","http://link.springer.com/book/10.1007/978-3-319-70205-6","Book"
